game_date,team_name,team_venue,ht_score,ft_score,et_score,pens_score
2023-09-09,Colchester United,home,1,2,,
2023-09-09,Tranmere Rovers,away,0,0,,
2023-09-16,Crawley Town,home,0,3,,
2023-09-16,Tranmere Rovers,away,1,2,,
2023-09-23,Tranmere Rovers,home,1,2,,
2023-09-23,Accrington Stanley,away,0,0,,
2023-09-30,AFC Wimbledon,home,2,4,,
2023-09-30,Tranmere Rovers,away,1,1,,
2023-10-03,Tranmere Rovers,home,1,2,,
2023-10-03,Bradford City,away,0,1,,
2023-10-07,Tranmere Rovers,home,1,2,,
2023-10-07,Grimsby Town,away,2,2,,
2023-10-10,Tranmere Rovers,home,0,0,,
2023-10-10,Leicester City U21,away,1,1,,
2023-10-14,Crewe Alexandra,home,1,2,,
2023-10-14,Tranmere Rovers,away,0,0,,
2023-10-20,Tranmere Rovers,home,0,1,,
2023-10-20,Doncaster Rovers,away,1,2,,
2023-10-24,Morecambe,home,0,1,,
2023-10-24,Tranmere Rovers,away,0,0,,
2023-10-28,Stockport County,home,1,2,,
2023-10-28,Tranmere Rovers,away,0,0,,
2023-11-04,Stevenage,home,1,4,,
2023-11-04,Tranmere Rovers,away,1,3,,
2023-11-11,Tranmere Rovers,home,1,3,,
2023-11-11,Forest Green Rovers,away,0,0,,
2023-11-14,Tranmere Rovers,home,0,0,,
2023-11-14,Wigan Athletic,away,0,0,,
2023-11-18,Sutton United,home,0,1,,
2023-11-18,Tranmere Rovers,away,1,1,,
2023-11-25,Tranmere Rovers,home,1,3,,
2023-11-25,Gillingham,away,0,1,,
2023-11-28,Mansfield Town,home,1,2,,
2023-11-28,Tranmere Rovers,away,1,2,,
2023-12-09,Tranmere Rovers,home,0,2,,
2023-12-09,Newport County,away,1,1,,
2023-12-16,Walsall,home,0,1,,
2023-12-16,Tranmere Rovers,away,0,0,,
2023-12-23,Tranmere Rovers,home,0,2,,
2023-12-23,Swindon Town,away,1,1,,
2023-12-26,Salford City,home,0,1,,
2023-12-26,Tranmere Rovers,away,2,5,,
2023-12-29,Harrogate Town,home,0,0,,
2023-12-29,Tranmere Rovers,away,0,2,,
2024-01-01,Tranmere Rovers,home,2,4,,
2024-01-01,Notts County,away,2,2,,
2024-01-06,Barrow,home,0,1,,
2024-01-06,Tranmere Rovers,away,0,0,,
2024-01-13,Tranmere Rovers,home,1,1,,
2024-01-13,Milton Keynes Dons,away,1,2,,
2024-01-27,Grimsby Town,home,1,1,,
2024-01-27,Tranmere Rovers,away,1,2,,
2024-02-03,Tranmere Rovers,home,0,0,,
2024-02-03,Crewe Alexandra,away,0,0,,
2024-02-10,Doncaster Rovers,home,1,2,,
2024-02-10,Tranmere Rovers,away,0,1,,
2024-02-13,Tranmere Rovers,home,2,2,,
2024-02-13,Morecambe,away,1,3,,
2024-02-17,Tranmere Rovers,home,1,4,,
2024-02-17,Stockport County,away,0,0,,
2024-02-24,Forest Green Rovers,home,1,1,,
2024-02-24,Tranmere Rovers,away,0,0,,
2024-01-20,Swindon Town,home,2,3,,
2024-01-20,Tranmere Rovers,away,1,1,,
2024-03-02,Tranmere Rovers,home,0,1,,
2024-03-02,Sutton United,away,0,0,,
2024-03-09,Gillingham,home,0,1,,
2024-03-09,Tranmere Rovers,away,1,1,,
2024-03-12,Tranmere Rovers,home,1,2,,
2024-03-12,Mansfield Town,away,1,1,,
2024-03-16,Wrexham,home,0,0,,
2024-03-16,Tranmere Rovers,away,1,1,,
2024-03-23,Tranmere Rovers,home,1,1,,
2024-03-23,Crawley Town,away,2,3,,
2024-03-29,Bradford City,home,0,2,,
2024-03-29,Tranmere Rovers,away,0,0,,
2024-04-01,Tranmere Rovers,home,1,1,,
2024-04-01,Colchester United,away,1,1,,
2024-04-06,Tranmere Rovers,home,1,1,,
2024-04-06,Walsall,away,1,3,,
2024-04-13,Newport County,home,1,1,,
2024-04-13,Tranmere Rovers,away,2,2,,
2024-04-20,Tranmere Rovers,home,2,3,,
2024-04-20,AFC Wimbledon,away,0,2,,
2024-04-27,Accrington Stanley,home,1,4,,
2024-04-27,Tranmere Rovers,away,1,1,,
2024-08-10,Tranmere Rovers,home,0,0,,
2024-08-10,Notts County,away,0,0,,
2024-08-13,Tranmere Rovers,home,2,3,,
2024-08-13,Accrington Stanley,away,0,0,,
2024-08-17,Port Vale,home,0,0,,
2024-08-17,Tranmere Rovers,away,0,0,,
2024-08-20,Tranmere Rovers,home,1,1,,
2024-08-20,Everton U21,away,0,3,,
2024-08-24,Tranmere Rovers,home,1,1,,
2024-08-24,Walsall,away,0,0,,
2024-08-27,Leicester City,home,1,4,,
2024-08-27,Tranmere Rovers,away,0,0,,
2024-08-31,Carlisle United,home,1,1,,
2024-08-31,Tranmere Rovers,away,2,2,,
2024-09-14,Gillingham,home,0,3,,
2024-09-14,Tranmere Rovers,away,0,0,,
2024-09-21,Colchester United,home,2,3,,
2024-09-21,Tranmere Rovers,away,0,0,,
2024-09-27,Tranmere Rovers,home,0,0,,
2024-09-27,Salford City,away,0,0,,
2024-10-01,Tranmere Rovers,home,1,1,,
2024-10-01,Swindon Town,away,0,1,,
2024-10-05,Milton Keynes Dons,home,1,1,,
2024-10-05,Tranmere Rovers,away,0,1,,
2024-10-08,Tranmere Rovers,home,0,2,,
2024-10-08,Accrington Stanley,away,0,1,,
2024-10-12,Tranmere Rovers,home,0,0,,
2024-10-12,Bradford City,away,1,2,,
2024-10-19,Bromley,home,0,1,,
2024-10-19,Tranmere Rovers,away,0,2,,
2024-10-22,Tranmere Rovers,home,0,0,,
2024-10-22,Grimsby Town,away,0,1,,
2024-10-26,Crewe Alexandra,home,1,3,,
2024-10-26,Tranmere Rovers,away,1,1,,
2024-11-02,Tranmere Rovers,home,1,1,,
2024-11-02,Oldham Athletic,away,1,2,,
2024-11-09,Tranmere Rovers,home,1,2,,
2024-11-09,Newport County,away,0,1,,
2024-11-12,Stockport County,home,0,0,,
2024-11-12,Tranmere Rovers,away,2,2,,
2024-11-22,Cheltenham Town,home,0,1,,
2024-11-22,Tranmere Rovers,away,0,0,,
2024-11-26,Tranmere Rovers,home,0,0,,
2024-11-26,AFC Wimbledon,away,1,2,,
2024-12-03,Tranmere Rovers,home,0,2,,
2024-12-03,Morecambe,away,1,2,,
2024-12-07,Chesterfield,home,2,3,,
2024-12-07,Tranmere Rovers,away,0,0,,
2024-12-10,Rotherham United,home,1,3,,
2024-12-10,Tranmere Rovers,away,0,2,,
2024-12-14,Tranmere Rovers,home,1,2,,
2024-12-14,Harrogate Town,away,1,1,,
2024-12-21,Doncaster Rovers,home,1,3,,
2024-12-21,Tranmere Rovers,away,0,1,,
2024-12-29,Tranmere Rovers,home,1,1,,
2024-12-29,Barrow,away,1,1,,
2025-01-01,Morecambe,home,0,2,,
2025-01-01,Tranmere Rovers,away,0,0,,
2025-01-04,Tranmere Rovers,home,1,1,,
2025-01-04,Carlisle United,away,0,0,,
2025-01-11,Walsall,home,2,5,,
2025-01-11,Tranmere Rovers,away,1,1,,
2025-01-18,AFC Wimbledon,home,0,2,,
2025-01-18,Tranmere Rovers,away,0,0,,
2025-01-25,Tranmere Rovers,home,1,1,,
2025-01-25,Gillingham,away,1,1,,
2025-01-28,Swindon Town,home,0,3,,
2025-01-28,Tranmere Rovers,away,1,1,,
2025-02-01,Tranmere Rovers,home,0,1,,
2025-02-01,Colchester United,away,2,3,,
2025-02-08,Salford City,home,0,2,,
2025-02-08,Tranmere Rovers,away,0,0,,
2025-02-11,Tranmere Rovers,home,0,0,,
2025-02-11,Fleetwood Town,away,0,0,,
2025-02-15,Tranmere Rovers,home,0,1,,
2025-02-15,Milton Keynes Dons,away,1,1,,
2025-02-22,Notts County,home,0,2,,
2025-02-22,Tranmere Rovers,away,0,1,,
2025-02-25,Tranmere Rovers,home,0,0,,
2025-02-25,Accrington Stanley,away,0,1,,
2025-03-01,Tranmere Rovers,home,1,1,,
2025-03-01,Port Vale,away,1,1,,
2025-03-04,Grimsby Town,home,0,1,,
2025-03-04,Tranmere Rovers,away,1,1,,
2025-03-08,Tranmere Rovers,home,1,2,,
2025-03-08,Bromley,away,1,1,,
2025-03-15,Bradford City,home,0,0,,
2025-03-15,Tranmere Rovers,away,0,1,,
2025-03-22,Fleetwood Town,home,0,0,,
2025-03-22,Tranmere Rovers,away,0,0,,
2025-03-28,Tranmere Rovers,home,1,2,,
2025-03-28,Cheltenham Town,away,0,0,,
2025-04-01,Harrogate Town,home,1,3,,
2025-04-01,Tranmere Rovers,away,0,2,,
2025-04-05,Tranmere Rovers,home,0,4,,
2025-04-05,Chesterfield,away,0,0,,
2025-04-12,Accrington Stanley,home,3,3,,
2025-04-12,Tranmere Rovers,away,0,3,,
2025-04-18,Tranmere Rovers,home,0,0,,
2025-04-18,Doncaster Rovers,away,1,3,,
2025-04-21,Barrow,home,0,0,,
2025-04-21,Tranmere Rovers,away,0,0,,
2025-04-26,Tranmere Rovers,home,1,2,,
2025-04-26,Crewe Alexandra,away,0,0,,
2025-05-03,Newport County,home,1,1,,
2025-05-03,Tranmere Rovers,away,1,4,,
2025-08-02,Colchester United,home,0,1,,
2025-08-02,Tranmere Rovers,away,1,1,,
2025-08-09,Tranmere Rovers,home,2,4,,
2025-08-09,Shrewsbury Town,away,0,0,,
2025-08-16,Tranmere Rovers,home,0,1,,
2025-08-16,Gillingham,away,0,1,,
2025-08-19,Tranmere Rovers,home,1,1,,
2025-08-19,Burton Albion,away,1,1,,
2025-08-23,Crawley Town,home,0,0,,
2025-08-23,Tranmere Rovers,away,0,2,,
2025-08-30,Tranmere Rovers,home,1,1,,
2025-08-30,Notts County,away,0,2,,
2025-09-06,Salford City,home,0,3,,
2025-09-06,Tranmere Rovers,away,0,1,,
2025-09-09,Tranmere Rovers,home,1,2,,
2025-09-09,Nottingham Forest U21,away,1,2,,
2025-09-13,Tranmere Rovers,home,1,1,,
2025-09-13,Newport County,away,0,1,,
2025-09-20,Walsall,home,2,4,,
2025-09-20,Tranmere Rovers,away,1,2,,
2025-09-27,Tranmere Rovers,home,0,0,,
2025-09-27,Cambridge United,away,0,0,,
2025-10-04,Bromley,home,2,3,,
2025-10-04,Tranmere Rovers,away,1,3,,
2025-10-07,Barrow,home,1,1,,
2025-10-07,Tranmere Rovers,away,1,2,,
2025-10-11,Tranmere Rovers,home,0,0,,
2025-10-11,Barnet,away,2,2,,
2025-10-18,Bristol Rovers,home,0,1,,
2025-10-18,Tranmere Rovers,away,1,4,,
2025-10-25,Tranmere Rovers,home,0,1,,
2025-10-25,Chesterfield,away,1,1,,
2025-10-28,Accrington Stanley,home,1,1,,
2025-10-28,Tranmere Rovers,away,0,1,,
2025-11-01,Tranmere Rovers,home,0,1,,
2025-11-01,Stockport County,away,0,3,,
2025-11-08,Swindon Town,home,0,2,,
2025-11-08,Tranmere Rovers,away,0,1,,
2025-11-11,Tranmere Rovers,home,1,2,,
2025-11-11,Blackpool,away,1,1,,
2025-11-15,Tranmere Rovers,home,2,3,,
2025-11-15,Cheltenham Town,away,1,2,,
2025-11-22,Tranmere Rovers,home,2,2,,
2025-11-22,Milton Keynes Dons,away,0,2,,
2025-11-27,Grimsby Town,home,0,1,,
2025-11-27,Tranmere Rovers,away,1,2,,
2025-12-09,Barrow,home,0,0,,
2025-12-09,Tranmere Rovers,away,0,3,,
2025-12-13,Tranmere Rovers,home,0,1,,
2025-12-13,Crewe Alexandra,away,2,4,,
2025-12-20,Oldham Athletic,home,1,3,,
2025-12-20,Tranmere Rovers,away,1,1,,
2025-12-26,Tranmere Rovers,home,1,1,,
2025-12-26,Fleetwood Town,away,0,0,,
2025-12-29,Tranmere Rovers,home,0,1,,
2025-12-29,Barrow,away,3,3,,
2026-01-01,Harrogate Town,home,0,0,,
2026-01-01,Tranmere Rovers,away,0,2,,
2026-01-10,Tranmere Rovers,home,0,0,,
2026-01-10,Bromley,away,1,2,,
2026-01-17,Tranmere Rovers,home,0,1,,
2026-01-17,Walsall,away,2,3,,
2026-01-24,Cambridge United,home,0,4,,
2026-01-24,Tranmere Rovers,away,1,2,,
2026-01-27,Barnet,home,0,1,,
2026-01-27,Tranmere Rovers,away,0,0,,
2026-01-31,Tranmere Rovers,home,0,0,,
2026-01-31,Salford City,away,0,2,,
2026-02-07,Gillingham,home,1,2,,
2026-02-07,Tranmere Rovers,away,0,1,,
2026-02-14,Tranmere Rovers,home,2,2,,
2026-02-14,Crawley Town,away,0,0,,
